team, x_coordinates, y_coordinates
AC Bellinzona,722340,116829
BSC Young Boys,600670,199655
FC Aarau,645731,249290
FC Basel,611220,267503
FC Lausanne-Sport,538291,152330
FC Lugano,717505,96295
FC Luzern,665892,211591
FC Schaffhausen,689722,283562
FC Sion,593997,120194
FC St. Gallen,746284,254335
FC Thun,614620,178664
FC Vaduz,758008,223061
FC Wil 1900,721481,258568
FC Zürich,683354,247353
Grasshopper Club Zürich,683354,247353
Neuchâtel Xamax FC,561256,204454
Servette Genève,500532,117325
Yverdon-Sport FC,539009,181170