2003,BSC Young Boys,Servette Genève,FC Basel,Neuchâtel Xamax FC,FC Aarau,FC Thun,FC Zürich,Grasshopper Club Zürich,FC Wil 1900,FC St. Gallen
2004,FC Basel,FC Thun,BSC Young Boys,FC St. Gallen,FC Schaffhausen,FC Zürich,Grasshopper Club Zürich,Neuchâtel Xamax FC,FC Aarau,Servette Genève
2005,BSC Young Boys,FC Zürich,FC Thun,Grasshopper Club Zürich,FC Basel,Yverdon-Sport FC,FC Schaffhausen,FC St. Gallen,Neuchâtel Xamax FC,FC Aarau
2006,FC Zürich,BSC Young Boys,FC Aarau,FC Basel,FC Schaffhausen,FC St. Gallen,FC Thun,FC Sion,Grasshopper Club Zürich,FC Luzern
2007,Grasshopper Club Zürich,FC Basel,FC Sion,BSC Young Boys,FC Aarau,FC Luzern,Neuchâtel Xamax FC,FC Thun,FC Zürich,FC St. Gallen
2008,FC Aarau,Grasshopper Club Zürich,FC Basel,FC Vaduz,FC Zürich,BSC Young Boys,FC Luzern,Neuchâtel Xamax FC,AC Bellinzona,FC Sion
2009,FC Sion,FC St. Gallen,BSC Young Boys,FC Aarau,AC Bellinzona,Neuchâtel Xamax FC,FC Zürich,Grasshopper Club Zürich,FC Luzern,FC Basel
2010,FC Luzern,FC Sion,FC Basel,BSC Young Boys,FC Thun,Grasshopper Club Zürich,Neuchâtel Xamax FC,FC Zürich,AC Bellinzona,FC St. Gallen
2011,FC Luzern,Grasshopper Club Zürich,FC Thun,BSC Young Boys,FC Basel,Servette Genève,FC Zürich,FC Lausanne-Sport,Neuchâtel Xamax FC,FC Sion
2012,FC Sion,FC Basel,BSC Young Boys,FC Luzern,FC St. Gallen,FC Zürich,FC Lausanne-Sport,FC Thun,Servette Genève,Grasshopper Club Zürich
2013,FC Basel,BSC Young Boys,FC Luzern,Grasshopper Club Zürich,FC Zürich,FC Thun,FC Aarau,FC Lausanne-Sport,FC Sion,FC St. Gallen
2014,FC Basel,FC Thun,FC Zürich,BSC Young Boys,FC St. Gallen,FC Luzern,FC Sion,FC Aarau,FC Vaduz,Grasshopper Club Zürich
2015,Grasshopper Club Zürich,FC Basel,FC St. Gallen,FC Luzern,FC Sion,BSC Young Boys,FC Zürich,FC Thun,FC Lugano,FC Vaduz
2016,FC Basel,BSC Young Boys,Grasshopper Club Zürich,FC Luzern,FC Thun,FC Vaduz,FC Lugano,FC Lausanne-Sport,FC St. Gallen,FC Sion
2017,BSC Young Boys,FC Zürich,FC Luzern,FC Sion,FC Lausanne-Sport,FC St. Gallen,FC Lugano,FC Thun,FC Basel,Grasshopper Club Zürich
2018,BSC Young Boys,Neuchâtel Xamax FC,FC Lugano,FC St. Gallen,FC Zürich,FC Basel,FC Sion,FC Thun,FC Luzern,Grasshopper Club Zürich